"QueryType";"Administrator";"PrimaryServer";"NameAdministrator";"SerialNumber";"TimeToZoneRefresh";"TimeToZoneFailureRetry";"TimeToExpiration";"DefaultTTL";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentsoest.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentsteenwijkerland.nl";"ns1-415.axc.nl";"hostmaster.presentsteenwijkerland.nl";"2020122817";"3600";"3600";"1209600";"86400";"presentsteenwijkerland.nl";"SOA";"Unicode";"Answer";"144";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentsudwestfryslan.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentterneuzen.nl";"ns1-415.axc.nl";"hostmaster.presentterneuzen.nl";"2020122819";"3600";"3600";"1209600";"86400";"presentterneuzen.nl";"SOA";"Unicode";"Answer";"132";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenttexel.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2016092200";"14400";"3600";"604800";"3600";"presenttiel.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenttilburg.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014112600";"14400";"3600";"604800";"3600";"presentutrecht.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentveenendaal.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentvlaardingen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentwageningen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentwalcheren.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentwestbetuwe.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2016062800";"14400";"3600";"604800";"3600";"presentwinterswijk.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentwoerden.nl";"ns1-415.axc.nl";"hostmaster.presentwoerden.nl";"2020122818";"3600";"3600";"1209600";"86400";"presentwoerden.nl";"SOA";"Unicode";"Answer";"128";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzaanstad.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzaanstreek.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzeewolde.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzoetermeer.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzuidoostfriesland.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzuidoostgroningen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentzwolle.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014061101";"14400";"3600";"604800";"3600";"stichtingpresent.nl";"SOA";"Unicode";"Answer";"100";"1439"
